Metric,UCI Diabetes,MIMIC-IV,Difference,Improvement
Total Patients,71518.0,211354.0,139836.0,195.52560194636314
High-Risk Count,4.0,28733.0,28729.0,718225.0
Readmission Rate (%),8.799183422355211,20.506354268194592,11.70717084583938,133.048378285832
High-Risk Readmission Rate (%),100.0,34.51084119305328,-65.48915880694672,-65.48915880694672
Avg Risk Score (%),62.9376043234798,65.61253277234941,2.6749284488696077,4.250127531263033
Total Cost Exposure ($M),0.037762,282.786735,282.74897300000003,748765.8836926011
